id,todaysDate,settlementDate,optionType,underlying,strike,riskFreeRate,volatility,maturityDate
1,10/26/2022,10/28/2022,Call,22.2,22,0.047,0.10,01/16/2023
2,10/23/2022,10/25/2022,Call,56.0,45,0.134,0.17,11/10/2022
3,10/17/2022,10/19/2022,Put,54.6,57,0.128,0.23,01/21/2023
4,10/23/2022,10/25/2022,Put,35.9,45,0.043,0.12,12/21/2022
5,10/25/2022,10/27/2022,Put,6.9,7,0.129,0.15,01/24/2023
6,10/09/2022,10/11/2022,Call,15.6,16,0.027,0.24,01/01/2023
7,10/21/2022,10/23/2022,Put,76.9,88,0.035,0.14,11/22/2022
8,10/24/2022,10/26/2022,Put,79.4,66,0.052,0.11,11/12/2022
9,10/20/2022,10/22/2022,Put,70.8,74,0.057,0.40,12/25/2022
10,10/19/2022,10/21/2022,Put,86.8,81,0.013,0.12,12/28/2022
11,10/12/2022,10/14/2022,Call,9.6,10,0.085,0.12,12/08/2022
12,10/08/2022,10/10/2022,Call,42.4,39,0.015,0.36,01/08/2023
13,10/03/2022,10/05/2022,Put,91.4,87,0.031,0.31,12/14/2022
14,10/21/2022,10/23/2022,Call,81.4,66,0.108,0.23,01/10/2023
15,10/03/2022,10/05/2022,Call,11.8,12,0.148,0.22,10/11/2022
16,10/16/2022,10/18/2022,Call,69.3,55,0.074,0.15,01/13/2023
17,10/27/2022,10/29/2022,Put,23.0,17,0.091,0.15,12/19/2022
18,10/08/2022,10/10/2022,Put,46.4,32,0.037,0.40,11/19/2022
19,10/24/2022,10/26/2022,Put,46.5,46,0.015,0.38,12/28/2022
20,10/09/2022,10/11/2022,Put,15.5,16,0.144,0.28,11/21/2022
21,10/26/2022,10/28/2022,Put,1.8,2,0.081,0.13,11/13/2022
22,10/03/2022,10/05/2022,Put,42.9,54,0.029,0.27,12/29/2022
23,10/17/2022,10/19/2022,Call,55.7,48,0.039,0.23,12/04/2022
24,10/05/2022,10/07/2022,Put,9.9,10,0.148,0.38,10/19/2022
25,10/28/2022,10/30/2022,Call,96.3,81,0.146,0.27,12/25/2022
26,10/04/2022,10/06/2022,Call,87.3,73,0.135,0.14,11/11/2022
27,10/20/2022,10/22/2022,Put,31.3,27,0.027,0.22,10/24/2022
28,10/20/2022,10/22/2022,Call,66.6,52,0.056,0.31,12/23/2022
29,10/19/2022,10/21/2022,Put,1.9,2,0.126,0.16,01/13/2023
30,10/26/2022,10/28/2022,Put,94.4,84,0.013,0.28,01/21/2023
31,10/22/2022,10/24/2022,Call,53.8,43,0.132,0.17,01/04/2023
32,10/26/2022,10/28/2022,Put,59.1,61,0.101,0.34,01/09/2023
33,10/19/2022,10/21/2022,Call,73.0,69,0.001,0.28,12/18/2022
34,10/26/2022,10/28/2022,Put,89.8,93,0.095,0.33,11/24/2022
35,10/07/2022,10/09/2022,Call,39.3,45,0.030,0.13,01/03/2023
36,10/28/2022,10/30/2022,Call,84.2,80,0.058,0.22,12/15/2022
37,10/17/2022,10/19/2022,Put,93.0,89,0.131,0.19,12/08/2022
38,10/24/2022,10/26/2022,Call,38.7,34,0.021,0.31,01/10/2023
39,10/06/2022,10/08/2022,Put,60.0,46,0.123,0.13,12/04/2022
40,10/08/2022,10/10/2022,Call,8.8,9,0.147,0.19,11/15/2022
41,10/28/2022,10/30/2022,Put,47.2,50,0.080,0.38,11/28/2022
